ZIP_CODE,MEDIAN_HOUSEHOLD_INCOME,MEAN_HOUSEHOLD_INCOME,
3835,47975,59713,
3836,45728,56866,
3837,64219,78346,
3838,46357,66711,
3839,55733,64831,
3840,75526,109858,
3841,83959,99306,
3842,72310,83441,
3844,112417,148972,
3845,45924,65853,
3846,46357,66711,
3847,40661,55428,
3848,69792,78509,
3849,55543,71375,
3850,52679,71728,
3851,58382,64122,
3852,58382,64122,
3853,52679,71728,
3854,67292,109947,
3855,60625,70704,
3856,79824,91594,
3857,70588,85299,
3858,87257,83256,
3860,40861,55726,
3861,72209,93556,
3862,75081,114862,
3864,44967,50007,
3865,76471,88998,
3867,51183,63716,
3868,53629,60462,
3869,66161,83345,
3870,85268,117242,
3871,85268,117242,
3872,46406,54838,
3873,84362,98243,
3874,52645,64487,
3875,55214,71203,
3878,52254,61720,
3882,45728,56866,
3883,51866,69455,
3884,72303,91267,
3885,106572,122575,
3886,51872,69458,
3887,57598,67326,
3890,44967,50007,
3894,55652,72825,
3901,61513,67714,
3902,72016,86286,
3903,66854,89730,
3904,52799,63631,
3905,54048,64496,
3906,57711,64639,
3907,57542,71288,
3908,75007,80578,
3909,61753,77941,
3910,57101,74158,
3911,57101,74158,
4001,51227,62454,
4002,62908,67672,
4003,66055,75809,
4005,49409,57937,
4006,61583,78343,
4008,63192,68092,
4009,42420,50711,
4010,42439,55342,
4011,51062,65065,
4015,51656,54366,
4017,85168,120334,
4019,58429,99366,
4020,48269,52426,
4021,85168,120334,
4022,42439,55342,
4024,52059,58563,
4027,56227,59965,
4029,52059,58563,
4030,60288,64959,
4032,60895,82043,
4037,37578,47999,
4038,70795,82719,
4039,67751,75773,
4040,42035,59390,
4041,40694,53327,
4042,57536,62297,
4043,73978,90301,
4046,60745,77919,
4047,48269,52426,
4048,50684,54533,
4049,56924,62757,
4050,58429,99366,
4051,45086,59891,
4055,52824,63915,
4056,51227,62454,
4057,42420,50711,
4061,60288,64959,
4062,57302,68309,
4063,31529,42364,
4064,40589,52077,
4066,66055,75809,
4068,40694,53327,
4069,65117,70252,
4071,63873,74801,
4072,42759,46958,
4073,43224,51777,
4074,77285,95129,
4076,51227,62454,
4079,63939,74123,
4083,44589,51145,
4084,70905,73031,
4085,55429,57086,
4086,63864,75742,
4087,60288,64959,
4088,45086,59891,
4090,63243,72031,
4091,52059,58563,
4092,46303,60730,
4093,55999,67329,
4095,51217,62419,
4096,77652,109954,
4097,70858,101181,
4101,28472,42273,
4102,50475,62791,
