ZIP,MEDIAN_HOUSEHOLD_INCOME,POPULATION,POPULATION_DENSITY_PER_SQ_MILE,HYDROCODONE,OXYCODONE
30906,36768,57748,683.7319441000001,85880.0,235009.50649999996
30907,67272,50913,2122.259275,45452.5,113954.8355
30909,45904,41585,1598.2551210000001,50892.5,71768.55200000001
30912,15438,296,2000.0,60.0,2080.0
31001,25610,4816,27.51418272,1540.0,3794.8355
31002,34480,2910,25.17998062,0.0,0.0
31003,38229,112,24.21621622,0.0,0.0
31005,80484,15102,785.7849004,4435.0,2577.5
31006,29610,4923,27.12486363,3485.0,8177.5
31007,29578,1117,18.127525600000002,0.0,0.0
31008,56351,18453,264.5250075,7295.0,12782.5
31009,38675,1477,20.65965423,0.0,0.0
31011,26061,923,18.62389023,0.0,0.0
31012,5906,2683,49.32801383,0.0,0.0
31014,33416,13756,65.20358345,16970.0,59044.8355
31015,29845,21938,100.8300624,32550.0,21380.0
31016,51523,1517,16.63851537,0.0,0.0
31017,30929,1985,21.14401363,15.0,0.0
31018,39794,2837,31.02614858,0.0,0.0
31019,45338,2318,42.54772394,0.0,0.0
31020,27348,2541,23.76654352,0.0,0.0
31021,41960,28549,119.2368574,76730.0,119015.36150000001
31022,52323,1424,32.89443289,0.0,0.0
31023,31162,15383,54.23137262,32827.5,27777.5
31024,41259,20039,59.67184801,16345.0,22932.171
31025,49125,1226,19.39382435,0.0,0.0
31027,34862,10012,56.8256635,15255.0,8038.026
31028,61363,5912,1661.6076449999998,18925.0,72497.3355
31029,43626,16287,63.31269169,22865.0,60272.5
31030,34773,18977,108.98179520000001,15947.5,15287.3355
31031,40148,6576,49.35565946,5597.5,17781.3485
31032,52864,13993,92.25464471,18432.5,40254.539000000004
31033,47112,2660,35.83553376,0.0,0.0
31035,39872,1364,26.37277649,0.0,0.0
31036,36260,12998,51.62012859,23067.5,20277.3355
31037,26309,4313,72.80676581,4677.5,7760.0
31038,38752,761,8.200342669,0.0,0.0
31039,24770,74,26.04716649,0.0,0.0
31041,35694,988,18.07405239,0.0,0.0
31042,32156,1841,18.99093263,0.0,0.0
31044,27087,2911,16.823672199999997,1967.5,1837.5
31045,28636,73,20.10465437,0.0,0.0
31046,64617,3343,44.6895261,0.0,0.0
31047,77209,11193,155.75036530000003,1397.5,2260.0
31049,36613,1806,18.52706737,0.0,0.0
31050,45591,965,43.97557419,0.0,0.0
31051,29375,187,98.94179894,0.0,0.0
31052,54412,8652,123.05854240000001,0.0,0.0
31054,32686,1671,32.92351342,0.0,0.0
31055,25295,8245,61.24829144,11125.0,13130.0
31057,31014,2182,25.10267708,365.0,90.0
31058,38439,2123,21.33561128,0.0,0.0
