,ZIP,MEDIAN_HOUSEHOLD_INCOME,POPULATION,POPULATION_DENSITY_PER_SQ_MILE
549,2833,71104,784,110.96956829999999
550,2835,77813,5405,572.0787468
551,2836,72819,136,442.9967427
552,2837,94866,3492,170.1588539
553,2838,62982,3400,2377.622378
554,2839,65948,1902,439.5655188
555,2840,58815,23335,3227.077859
556,2841,53958,1392,2980.728051
557,2842,70801,16095,1268.021744
558,2852,76449,22551,730.1129925
559,2857,74686,8412,201.5091628
560,2858,65948,570,986.1591696
561,2859,70127,6738,237.54627180000003
562,2860,35154,45199,8373.286402
563,2861,53929,14,3.928170595
564,2863,33666,19385,16140.716069999999
565,2864,73450,33396,1265.911072
566,2865,75540,16951,1015.577257
567,2871,59264,17171,1007.8060810000001
568,2872,71705,218,36.65097512
569,2873,71104,235,83.68945869
570,2874,90020,5860,386.3906106
571,2875,72819,307,266.03119580000003
572,2876,80080,430,3385.826772
573,2878,62530,15780,543.1265919
574,2879,70848,20371,544.9705725
575,2881,47075,7841,2169.618152
576,2882,61144,14184,1108.5580300000001
577,2885,54317,10627,1736.154223
578,2886,59954,29269,1961.072027
579,2888,58509,19912,3357.8414840000005
580,2889,60122,28217,3244.45211
581,2891,61399,21198,803.7156398
582,2892,80222,4988,182.083668
583,2893,52342,29630,3764.451785
584,2894,72539,722,166.5513264
585,2895,40457,41186,5321.876211
586,2896,79213,11537,487.2661232
587,2898,72768,1696,146.83982680000003
588,2903,26262,10780,6012.269939
589,2904,44102,29359,5652.4836350000005
590,2905,34503,25223,6729.722519
591,2906,64563,28387,8758.716445999999
592,2907,30216,27445,12469.332120000001
593,2908,40373,37467,11852.89465
594,2909,33877,43540,12594.73532
595,2910,58287,21000,6102.877071
596,2911,48687,15574,6277.307537
597,2912,60938,1370,31860.465119999997
598,2914,46275,21963,4496.008188000001
599,2915,52780,16897,3052.7551940000003
600,2916,59302,8139,3185.518591
601,2917,71030,13762,645.0735915
602,2919,59408,28790,1225.8888650000001
603,2920,54380,37547,4088.305749
604,2921,85748,12361,940.5006467000001
605,3031,115544,11247,324.47637180000004
606,3032,90082,4953,196.53202130000003
607,3033,101722,4987,252.2508852
608,3034,90986,3970,120.37233559999999
609,3036,99970,4782,184.29876289999999
610,3037,85573,4219,87.48392983
611,3038,72374,33269,924.4984161
612,3042,73405,6341,243.65969869999998
613,3043,67541,1573,50.22670669
614,3044,76929,4263,252.1291696
615,3045,76696,13560,380.20468250000005
616,3046,95682,2758,89.24699867
617,3047,69136,1767,66.9800235
618,3048,63151,3426,115.9233945
619,3049,112885,7688,242.04262819999997
620,3051,77996,24480,863.8272346000001
621,3052,100051,8258,553.0774898
622,3053,93465,23957,583.40639
623,3054,92954,25477,783.4496756
624,3055,70617,15086,606.911534
625,3057,97234,2500,149.20919130000001
626,3060,45861,29357,4491.585067
627,3062,83501,26694,2209.219565
628,3063,75894,16216,2001.234111
629,3064,68657,14227,3447.2982799999995
630,3070,86118,5254,122.11221119999999
631,3071,72739,5109,156.0714831
632,3076,93085,12897,488.70784389999994
633,3077,61164,10155,345.2672379
634,3079,68841,28776,1163.842265
