BUYER_ZIP,BUYER_COUNTY,BUYER_CITY,BUYER_STATE,COUNT
54701,EAU CLAIRE,EAU CLAIRE,WI,6626
30906,RICHMOND,AUGUSTA,GA,6618
42420,HENDERSON,HENDERSON,KY,6608
28625,IREDELL,STATESVILLE,NC,6608
97230,MULTNOMAH,PORTLAND,OR,6605
74063,TULSA,SAND SPRINGS,OK,6601
40962,CLAY,MANCHESTER,KY,6594
13601,JEFFERSON,WATERTOWN,NY,6590
48532,GENESEE,FLINT,MI,6572
21701,FREDERICK,FREDERICK,MD,6571
8753,OCEAN,TOMS RIVER,NJ,6571
98223,SNOHOMISH,ARLINGTON,WA,6563
47802,VIGO,TERRE HAUTE,IN,6549
73160,CLEVELAND,MOORE,OK,6547
47715,VANDERBURGH,EVANSVILLE,IN,6539
93454,SANTA BARBARA,SANTA MARIA,CA,6534
37343,HAMILTON,HIXSON,TN,6533
19720,NEW CASTLE,NEW CASTLE,DE,6522
99208,SPOKANE,SPOKANE,WA,6522
92262,RIVERSIDE,PALM SPRINGS,CA,6518
77642,JEFFERSON,PORT ARTHUR,TX,6517
72956,CRAWFORD,VAN BUREN,AR,6508
98373,PIERCE,PUYALLUP,WA,6503
80601,ADAMS,BRIGHTON,CO,6501
48071,OAKLAND,MADISON HEIGHTS,MI,6498
66062,JOHNSON,OLATHE,KS,6493
19149,PHILADELPHIA,PHILADELPHIA,PA,6491
74501,PITTSBURG,MCALESTER,OK,6489
97045,CLACKAMAS,OREGON CITY,OR,6486
86442,MOHAVE,BULLHEAD CITY,AZ,6484
37311,BRADLEY,CLEVELAND,TN,6483
62526,MACON,DECATUR,IL,6479
48706,BAY,BAY CITY,MI,6471
32086,SAINT JOHNS,ST AUGUSTINE,FL,6468
30701,GORDON,CALHOUN,GA,6467
37862,SEVIER,SEVIERVILLE,TN,6467
34606,HERNANDO,SPRING HILL,FL,6462
79762,ECTOR,ODESSA,TX,6452
27804,NASH,ROCKY MOUNT,NC,6446
30253,HENRY,MCDONOUGH,GA,6444
28150,CLEVELAND,SHELBY,NC,6443
23602,NEWPORT NEWS CITY,NEWPORT NEWS,VA,6437
28786,HAYWOOD,WAYNESVILLE,NC,6435
45150,CLERMONT,MILFORD,OH,6431
61832,VERMILION,DANVILLE,IL,6426
89502,WASHOE,RENO,NV,6422
97471,DOUGLAS,ROSEBURG,OR,6418
86403,MOHAVE,LAKE HAVASU CITY,AZ,6418
30066,COBB,MARIETTA,GA,6415
32073,CLAY,ORANGE PARK,FL,6407
97701,DESCHUTES,BEND,OR,6404
32771,SEMINOLE,SANFORD,FL,6400
26101,WOOD,PARKERSBURG,WV,6396
46060,HAMILTON,NOBLESVILLE,IN,6391
89052,CLARK,HENDERSON,NV,6390
74055,TULSA,OWASSO,OK,6389
28601,CATAWBA,HICKORY,NC,6389
84088,SALT LAKE,WEST JORDAN,UT,6388
76063,TARRANT,MANSFIELD,TX,6387
74135,TULSA,TULSA,OK,6387
46360,LA PORTE,MICHIGAN CITY,IN,6374
35630,LAUDERDALE,FLORENCE,AL,6370
99654,MATANUSKA SUSITNA,WASILLA,AK,6365
77015,HARRIS,HOUSTON,TX,6361
87111,BERNALILLO,ALBUQUERQUE,NM,6355
93720,FRESNO,FRESNO,CA,6353
