ZIP_CODE,POPULATION,POPULATION_DENSITY_PER_SQ_MILE
3229,5589,128.873824
3230,1231,30.12947598
3231,202,91.9435594
3233,115,212.1771218
3234,4572,133.0578272
3235,8562,289.2763025
3237,2254,61.67232133
3238,75,27.02702703
3240,1340,32.15048346
3241,876,21.16555523
3242,4836,109.8142513
3243,1085,41.14836165
3244,8092,98.34232658
3245,2027,66.77427856
3246,15963,797.6315395
3249,7113,182.8205721
3251,1662,11.03988841
3253,6219,159.7072419
3254,4049,68.03555526
3255,2090,56.85991784
3256,2169,57.72916001
3257,4455,194.2446043
3258,2517,120.3384968
3259,368,15.72783999
3260,809,33.12044543
3261,4246,151.6807773
3262,1231,21.62000773
3263,4114,169.2586193
3264,7468,202.7474616
3266,2163,21.11892209
3268,1272,41.65302246
3269,2966,62.30176235
3273,312,52.86343612
3275,11437,265.3596288
3276,8324,210.5316404
3278,2952,47.42473412
3279,829,18.10043668
3280,1123,24.70466595
3281,8785,149.2955832
3282,902,21.81642278
3284,999,25.80061983
3285,2479,49.40805995
3287,1295,49.31454684
3290,4731,103.2383363
3291,39,215.4696133
3293,143,88.16276202
3301,33008,666.5589661
3303,15524,230.1079094
3304,7519,268.2291667
3307,5334,107.3801184
3431,25280,425.0882798
3440,2692,74.42014762
3441,395,100.8682329
3442,1491,133.9622642
3443,742,66.78066781
3444,1590,56.65823326
3445,691,34.54136466
3446,6285,146.9556678
3447,2422,69.16047973
3448,811,41.68808471
3449,1654,55.18483918
3450,961,51.7167151
3451,4077,190.3983561
3452,5457,142.4357904
3455,2086,88.71310709
3456,742,28.59675492
3457,852,37.07087848
3458,6643,124.5453523
3461,6014,161.6536301
3462,1562,79.92631633
3464,1109,22.27712828
3465,2156,122.3401237
3466,1332,87.18418641
3467,1842,52.01479683
3470,5033,57.62405257
3561,5939,116.5400993
3570,10051,95.21599091
3574,2526,27.8807947
3575,124,4.463160926
3576,3238,22.75842195
3579,103,0.187486803
3580,1369,14.38538974
3581,3230,21.48149133
3582,2577,30.23583245
3583,1107,21.9895912
3584,3774,63.94659256
3585,2519,31.14105575
3586,547,32.87062076
3588,1641,11.51183102
3590,1052,9.990503324
3592,1145,3.478815684
3593,313,3.351716014
3595,639,17.39154102
3597,521,9.753084109
3598,3285,53.23803967
3601,477,24.84116238
3602,2654,45.75152132
3603,5412,126.9885964
3604,69,141.3934426
3605,1160,35.83454326
3607,322,20.68345324
3608,2811,83.16814107
3609,854,957.3991031
3740,911,26.57448733
3741,4208,54.73749935
3743,14103,230.5541932
3745,1424,40.74625157
3746,216,30.17602682
3748,4762,110.8550411
3750,870,69.44444444
3751,583,191.6502301
3752,810,36.02722057
3753,2971,109.5622672
3754,86,2263.157895
3755,10538,291.9032714
3765,503,114.3701683
3766,8958,281.9374941
3768,1716,31.87458206
3770,524,105.9013743
3771,754,34.23848878
3773,7841,84.94296331
3774,1966,75.89268481
3777,1237,27.30925468
3779,790,19.84475872
3780,410,25.21215103
3781,1840,38.96571441
3782,2945,139.4743074
3784,4086,487.4150066
3785,2400,40.18081366
3801,21532,903.7186267
3809,3716,92.16955627
3810,1538,66.53688081
3811,6753,606.1938959
3812,824,13.64916349
3813,3250,33.79994592
3814,2329,73.57912362
3816,1368,47.1155502
3817,574,57.99737294
3818,3807,44.82620573
3819,4377,373.6235595
3820,30039,1081.706878
3823,1719,162.1698113
3824,14638,653.9492495
3825,8512,184.6300675
3826,2470,868.4950774
3827,3150,176.1547925
3830,1610,125.1360174
3832,395,15.84627111
3833,20955,431.723598
3835,6786,182.3311301
3836,1489,42.56109761
3837,1519,75.35843628
3838,1031,44.85143777
3839,3735,441.0201913
3840,3566,342.0295415
3841,6334,586.3186152
3842,15345,1204.474097
3844,2238,181.7295981
3845,991,74.93383743
3846,799,12.29003876
3847,294,345.0704225
3848,6020,306.408103
3849,1585,63.42029449
3850,372,123.1788079
3851,4040,153.146323
3852,558,82.85077951
3853,602,75.99091139
3854,968,1173.333333
3855,2638,63.54788977
3856,1680,236.7864693
3857,9006,714.8186364
3858,4603,464.5740816
3860,4056,201.0707912
3861,4330,216.9990979
3862,4278,308.1688518
3864,1696,49.10391152
3865,7609,715.2660274
3867,20758,694.6889328
3868,5323,704.9397431
3869,2469,348.2369535
3870,5162,423.1841285
3871,136,326.1390887
3872,3809,80.53364907
3873,5711,429.1081223
3874,8776,982.2048125
3875,833,59.43207763
3878,11824,1183.939121
3882,1465,38.12919681
3883,178,13.99041107
3884,3964,81.81799418
3885,7261,479.9391896
3886,2112,55.39236257
3887,2154,106.5809005
3890,327,71.42857143
3894,6314,129.2475231
3901,7246,192.4772884
3902,2211,112.8406655
3903,6211,313.7978073
3904,7703,687.7678571
3905,1780,270.8460134
3906,4647,121.4901961
3907,894,218.6888454
3908,7233,224.8577735
3909,9738,283.2543122
3910,328,964.7058824
3911,250,718.3908046
4001,2429,67.55666806
4002,7351,111.3399876
4003,330,286.4583333
4005,23146,483.2452972
4006,96,1280
4008,2723,76.38362927
4009,5151,90.94600798
4010,1597,35.91265826
4011,20278,433.9675134
4015,3808,119.872824
4017,341,95.89426322
4019,71,98.61111111
4020,1403,63.26659452
4021,5820,282.1544577
4022,1148,24.88565173
4024,608,38.3717261
4027,6031,109.6505582
4029,1725,52.48744865
4030,2208,132.7880683
4032,7879,227.0278058
4037,3834,46.48286899
4038,16381,323.6328434
4039,7422,182.6324467
4040,3111,50.49177135
4041,1613,43.10874736
4042,4281,133.7227463
4043,10810,306.1802526
4046,7496,168.8630578
4047,1892,32.48793722
4048,2946,104.5273914
4049,3659,89.51900964
4050,230,161.6303584
4051,1153,26.41405695
4055,3793,121.9026193
4056,257,45.56737589
4057,56,1018.181818
4061,3369,171.3457431
4062,17020,362.3203832
4063,412,614.9253731
4064,8212,1214.074512
4066,539,299.1120977
4068,1505,47.57539356
4069,1465,64.1025641
4071,4801,129.4209618
4072,18482,480.5012479
4073,16189,432.9419945
4074,18760,394.3827783
4076,2683,69.20656211
4079,3871,182.3105543
4083,4525,452.9076169
4084,8088,172.3785166
4085,1786,148.0805903
4086,8787,272.8797242
4087,2116,111.1461288
4088,1516,31.46991053
4090,9589,166.3197697
4091,911,47.05335468
4092,17515,1021.997899
4093,8034,198.2431032
4095,1274,43.87203416
4096,8349,625.2995806
4097,3574,168.3704716
4101,17227,8691.72553
4102,17335,2930.6847
4103,30606,2998.236677
4105,11158,380.8711087
4106,25175,2061.328093
4107,8980,619.5239738
4108,862,723.7615449
4109,93,72.09302326
4110,1391,618.4971098
4210,23045,388.7286406
4216,640,4.676687444
4217,3312,18.12173076
4219,1472,23.98097162
4220,3077,39.24494611
4221,1098,34.22586578
4222,3848,100.522466
4224,3040,40.93779879
4226,190,17.62196253
4227,79,139.5759717
4228,6,88.23529412
4231,236,6.927321827
4234,168,512.195122
4236,4350,134.7750651
4237,238,33.81642512
4238,1416,63.19453742
4239,4851,100.2624889
4240,36592,1071.602191
4250,4228,354.6384835
4252,4799,440.1944597
4253,2095,55.68846358
4254,3181,162.1883445
4255,802,21.19730408
4256,3064,272.1620181
4257,2681,114.8622595
4258,2617,88.34649922
4259,3264,111.0770801
4260,5542,117.6071133
4261,444,2.122036199
4263,2326,58.07450315
4265,918,129.9730992
4267,37,17.8313253
4268,5023,110.0738501
4270,5880,74.76825655
4271,67,370.1657459
4274,5343,127.305218
4275,514,5.426291119
4276,5841,85.21036354
4280,6474,155.4045944
4281,5116,126.0315818
4282,5734,96.76167333
4284,1138,67.28154192
4285,433,6.700400786
4286,47,839.2857143
4287,3224,72.55868386
4289,1815,74.82684697
4290,1541,33.01553294
4292,948,21.39520188
4294,3995,69.3046978
4330,26086,222.7877939
4342,1672,54.9060817
4343,25,51.65289256
4344,2951,262.7548749
4345,11646,161.6041074
4346,1772,830.3655108
4347,2355,400.9875702
4348,2976,39.551852
4349,1158,39.33824778
4350,3577,96.37353163
4351,2571,120.8915221
4352,1632,43.25011926
4353,2300,49.12850308
4354,1535,37.84610074
4355,2600,88.84636413
4357,3399,111.8276032
4358,4276,85.90657961
4359,388,540.3899721
4360,560,23.14527795
4363,2575,74.31457431
4364,6025,197.4438801
4401,44899,448.0267425
4406,819,9.083145719
4408,176,1.487013975
4410,1290,31.32284382
4411,1492,35.04733269
4412,9482,622.4235263
4413,196,3.814788143
4414,1248,5.072242882
4415,276,174.4627054
4416,5468,94.63318392
4417,370,5.925119303
4418,1771,12.01696353
4419,2794,76.48089346
4421,1366,175.6687243
4422,1409,34.74465514
4424,823,7.824904684
4426,4720,30.55609503
4427,2858,71.10160215
4428,3146,52.85707085
4429,4717,66.86417373
4430,1728,191.4257228
4431,81,258.7859425
4434,1246,50.22573363
4435,1092,28.3180333
4438,1124,45.67434678
4441,1840,3.164840004
4442,93,1.241738434
4443,2537,18.46648809
4444,8824,127.7988587
4448,1431,12.96054777
4449,1489,39.91529059
4450,1368,81.29308296
4451,259,3.456743987
4453,779,11.52026028
4454,69,1.39560284
4455,923,10.96655379
4456,2851,94.84364604
4457,5948,36.0841316
4459,773,9.594022663
4460,1419,13.26738598
4461,3070,69.57980146
4462,4835,4.130124109
4463,2847,19.41767438
4464,684,3.419162305
4468,9521,79.83531503
4469,2702,11211.61826
4471,609,6.342891067
4472,2144,45.90514934
4473,7660,427.1216683
4474,3733,149.3737746
4475,418,17.26559273
4476,1259,31.56970913
4478,316,0.796668112
4479,1343,34.93665617
4481,559,18.04855999
4485,233,5.228787505
4487,964,4.385805278
4488,1202,34.35267219
4489,197,975.2475248
4490,273,1.034118329
4491,140,10.81665765
4492,166,3.569738936
4493,1967,29.45536771
4495,407,9.313927411
4496,3757,105.7416268
4497,389,1.618762666
4530,10818,376.1212711
4535,709,33.92019902
4537,2073,123.6799714
4538,2080,426.4916957
4539,1168,71.49853085
4541,80,43.50190321
4543,2218,178.2958199
4544,724,224.9844624
4547,1152,81.67895632
4548,1042,56.07275467
4551,806,48.95232311
4553,1752,60.30565882
4554,710,165.9266184
4555,1643,86.74762408
4556,1249,69.10861506
4558,308,74.52213888
4562,2216,77.53131341
4563,1534,79.7504549
4564,489,56.33640553
4568,391,78.78299416
4570,2,7.326007326
4571,323,152.5743977
4572,5075,70.98100646
4573,501,61.5252364
4574,1510,39.8395863
4575,85,129.3759513
4576,604,118.2922052
4578,4450,133.0701833
4579,3072,87.58624622
4605,12974,45.60136938
4606,1272,29.83954209
4607,1182,23.64709413
4609,5222,123.6386021
4611,508,90.43973651
4612,589,107.3055201
4613,183,97.91332263
4614,2579,42.83412779
4616,824,45.97188128
4617,811,31.8626488
